"시도별(1)","설립주체별(1)","학교현황별(1)","학교현황별(2)",시점,데이터
"총계","국립","직원수 (명)","여자",2015,14
"총계","국립","직원수 (명)","여자",2016,15
"총계","국립","직원수 (명)","여자",2017,16
"총계","국립","직원수 (명)","여자",2018,19
"총계","국립","직원수 (명)","여자",2019,21
"총계","국립","직원수 (명)","여자",2020,21
"총계","국립","직원수 (명)","여자",2021,21
"총계","국립","직원수 (명)","여자",2022,18
"총계","국립","입학자수 (명)","소계",2013,1509
"총계","국립","입학자수 (명)","소계",2014,1498
"총계","국립","입학자수 (명)","소계",2015,1475
"총계","국립","입학자수 (명)","소계",2016,1483
"총계","국립","입학자수 (명)","소계",2017,1472
"총계","국립","입학자수 (명)","소계",2018,1431
"총계","국립","입학자수 (명)","소계",2019,1429
"총계","국립","입학자수 (명)","소계",2020,1409
"총계","국립","입학자수 (명)","소계",2021,1355
"총계","국립","입학자수 (명)","소계",2022,1309
"총계","국립","입학자수 (명)","여자",2013,759
"총계","국립","입학자수 (명)","여자",2014,752
"총계","국립","입학자수 (명)","여자",2015,720
"총계","국립","입학자수 (명)","여자",2016,738
"총계","국립","입학자수 (명)","여자",2017,751
"총계","국립","입학자수 (명)","여자",2018,716
"총계","국립","입학자수 (명)","여자",2019,718
"총계","국립","입학자수 (명)","여자",2020,700
"총계","국립","입학자수 (명)","여자",2021,674
"총계","국립","입학자수 (명)","여자",2022,646
"총계","국립","졸업자수 (명)","소계",2013,1766
"총계","국립","졸업자수 (명)","소계",2014,1698
"총계","국립","졸업자수 (명)","소계",2015,1671
"총계","국립","졸업자수 (명)","소계",2016,1646
"총계","국립","졸업자수 (명)","소계",2017,1613
"총계","국립","졸업자수 (명)","소계",2018,1515
"총계","국립","졸업자수 (명)","소계",2019,1478
"총계","국립","졸업자수 (명)","소계",2020,1466
"총계","국립","졸업자수 (명)","소계",2021,1477
"총계","국립","졸업자수 (명)","소계",2022,1467
"총계","국립","졸업자수 (명)","여자",2013,878
"총계","국립","졸업자수 (명)","여자",2014,849
"총계","국립","졸업자수 (명)","여자",2015,828
"총계","국립","졸업자수 (명)","여자",2016,830
"총계","국립","졸업자수 (명)","여자",2017,811
"총계","국립","졸업자수 (명)","여자",2018,767
"총계","국립","졸업자수 (명)","여자",2019,732
"총계","국립","졸업자수 (명)","여자",2020,739
"총계","국립","졸업자수 (명)","여자",2021,728
"총계","국립","졸업자수 (명)","여자",2022,721
"총계","국립","교실수 (개)","소계",2013,392
"총계","국립","교실수 (개)","소계",2014,399
"총계","국립","교실수 (개)","소계",2015,532
"총계","국립","교실수 (개)","소계",2016,537
"총계","국립","교실수 (개)","소계",2017,534
"총계","국립","교실수 (개)","소계",2018,533
"총계","국립","교실수 (개)","소계",2019,543
"총계","국립","교실수 (개)","소계",2020,549
"총계","국립","교실수 (개)","소계",2021,547
"총계","국립","교실수 (개)","소계",2022,548
"총계","국립","교실수 (개)","정규교실",2013,388
"총계","국립","교실수 (개)","정규교실",2014,394
"총계","국립","교실수 (개)","가·대용교실",2013,4
"총계","국립","교실수 (개)","가·대용교실",2014,5
"총계","국립","교실수 (개)","일반교실",2015,356
"총계","국립","교실수 (개)","일반교실",2016,356
"총계","국립","교실수 (개)","일반교실",2017,395
"총계","국립","교실수 (개)","일반교실",2018,395
"총계","국립","교실수 (개)","일반교실",2019,399
"총계","국립","교실수 (개)","일반교실",2020,403
"총계","국립","교실수 (개)","일반교실",2021,403
"총계","국립","교실수 (개)","일반교실",2022,403
"총계","국립","교실수 (개)","교과교실",2015,44
"총계","국립","교실수 (개)","교과교실",2016,46
"총계","국립","교실수 (개)","교과교실",2017,27
"총계","국립","교실수 (개)","교과교실",2018,23
"총계","국립","교실수 (개)","교과교실",2019,21
"총계","국립","교실수 (개)","교과교실",2020,17
"총계","국립","교실수 (개)","교과교실",2021,17
"총계","국립","교실수 (개)","교과교실",2022,17
"총계","국립","교실수 (개)","특별교실",2015,113
"총계","국립","교실수 (개)","특별교실",2016,116
"총계","국립","교실수 (개)","특별교실",2017,111
"총계","국립","교실수 (개)","특별교실",2018,114
"총계","국립","교실수 (개)","특별교실",2019,123
"총계","국립","교실수 (개)","특별교실",2020,129
"총계","국립","교실수 (개)","특별교실",2021,127
"총계","국립","교실수 (개)","특별교실",2022,128
"총계","국립","교실수 (개)","수준별교실",2015,19
"총계","국립","교실수 (개)","수준별교실",2016,19
"총계","국립","교실수 (개)","수준별교실",2017,1
"총계","국립","교실수 (개)","수준별교실",2018,1
"총계","국립","교실수 (개)","수준별교실",2019,0
"총계","국립","교실수 (개)","수준별교실",2020,-
"총계","국립","교실수 (개)","수준별교실",2021,-
"총계","국립","교실수 (개)","수준별교실",2022,-
"총계","공립","학교수 (개)","소계",2013,5820
"총계","공립","학교수 (개)","소계",2014,5841
"총계","공립","학교수 (개)","소계",2015,5886
"총계","공립","학교수 (개)","소계",2016,5909
"총계","공립","학교수 (개)","소계",2017,5949
"총계","공립","학교수 (개)","소계",2018,5973
"총계","공립","학교수 (개)","소계",2019,5996
"총계","공립","학교수 (개)","소계",2020,6029
"총계","공립","학교수 (개)","소계",2021,6067
"총계","공립","학교수 (개)","소계",2022,6073
"총계","공립","학급수 (개)","소계",2013,118082
"총계","공립","학급수 (개)","소계",2014,118086
"총계","공립","학급수 (개)","소계",2015,118267
"총계","공립","학급수 (개)","소계",2016,117744
"총계","공립","학급수 (개)","소계",2017,118354
"총계","공립","학급수 (개)","소계",2018,120030
"총계","공립","학급수 (개)","소계",2019,121978
"총계","공립","학급수 (개)","소계",2020,121741
"총계","공립","학급수 (개)","소계",2021,122269
"총계","공립","학급수 (개)","소계",2022,124708
"총계","공립","학생수 (명)","소계",2013,2733287
"총계","공립","학생수 (명)","소계",2014,2678752
"총계","공립","학생수 (명)","소계",2015,2665762
"총계","공립","학생수 (명)","소계",2016,2624452
"총계","공립","학생수 (명)","소계",2017,2626405
"총계","공립","학생수 (명)","소계",2018,2664402
"총계","공립","학생수 (명)","소계",2019,2700467
"총계","공립","학생수 (명)","소계",2020,2647300
"총계","공립","학생수 (명)","소계",2021,2625459
"총계","공립","학생수 (명)","소계",2022,2616671
"총계","공립","학생수 (명)","여자",2013,1310908
"총계","공립","학생수 (명)","여자",2014,1287863
"총계","공립","학생수 (명)","여자",2015,1285831
"총계","공립","학생수 (명)","여자",2016,1268353
"총계","공립","학생수 (명)","여자",2017,1270916
"총계","공립","학생수 (명)","여자",2018,1291731
"총계","공립","학생수 (명)","여자",2019,1311081
"총계","공립","학생수 (명)","여자",2020,1286313
"총계","공립","학생수 (명)","여자",2021,1276833
"총계","공립","학생수 (명)","여자",2022,1274448
"총계","공립","교원수 (명)","소계",2013,179312
"총계","공립","교원수 (명)","소계",2014,180366
"총계","공립","교원수 (명)","소계",2015,180376
"총계","공립","교원수 (명)","소계",2016,181164
"총계","공립","교원수 (명)","소계",2017,182046
"총계","공립","교원수 (명)","소계",2018,184402
"총계","공립","교원수 (명)","소계",2019,186295
"총계","공립","교원수 (명)","소계",2020,187006
"총계","공립","교원수 (명)","소계",2021,188943
"총계","공립","교원수 (명)","소계",2022,192722
"총계","공립","교원수 (명)","여자",2013,137788
"총계","공립","교원수 (명)","여자",2014,138935
"총계","공립","교원수 (명)","여자",2015,139278
"총계","공립","교원수 (명)","여자",2016,139976
"총계","공립","교원수 (명)","여자",2017,140781
"총계","공립","교원수 (명)","여자",2018,142784
"총계","공립","교원수 (명)","여자",2019,144114
"총계","공립","교원수 (명)","여자",2020,144650
"총계","공립","교원수 (명)","여자",2021,146193
"총계","공립","교원수 (명)","여자",2022,149173
"총계","공립","직원수 (명)","소계",2013,24763
"총계","공립","직원수 (명)","소계",2014,25223
"총계","공립","직원수 (명)","소계",2015,24974
"총계","공립","직원수 (명)","소계",2016,24519
"총계","공립","직원수 (명)","소계",2017,24053
"총계","공립","직원수 (명)","소계",2018,23764
"총계","공립","직원수 (명)","소계",2019,23510
"총계","공립","직원수 (명)","소계",2020,23503
"총계","공립","직원수 (명)","소계",2021,23341
"총계","공립","직원수 (명)","소계",2022,23371
"총계","공립","직원수 (명)","여자",2013,12761
"총계","공립","직원수 (명)","여자",2014,13177
"총계","공립","직원수 (명)","여자",2015,13368
"총계","공립","직원수 (명)","여자",2016,13350
"총계","공립","직원수 (명)","여자",2017,13492
"총계","공립","직원수 (명)","여자",2018,13541
"총계","공립","직원수 (명)","여자",2019,13747
"총계","공립","직원수 (명)","여자",2020,14205
"총계","공립","직원수 (명)","여자",2021,14406
"총계","공립","직원수 (명)","여자",2022,14527
"총계","공립","입학자수 (명)","소계",2013,428001
"총계","공립","입학자수 (명)","소계",2014,470675
"총계","공립","입학자수 (명)","소계",2015,447234
"총계","공립","입학자수 (명)","소계",2016,426792
"총계","공립","입학자수 (명)","소계",2017,450522
"총계","공립","입학자수 (명)","소계",2018,454697
"총계","공립","입학자수 (명)","소계",2019,465577
"총계","공립","입학자수 (명)","소계",2020,418437
"총계","공립","입학자수 (명)","소계",2021,420190
"총계","공립","입학자수 (명)","소계",2022,423361
"총계","공립","입학자수 (명)","여자",2013,206651
"총계","공립","입학자수 (명)","여자",2014,228467
"총계","공립","입학자수 (명)","여자",2015,216972
"총계","공립","입학자수 (명)","여자",2016,206980
"총계","공립","입학자수 (명)","여자",2017,218081
"총계","공립","입학자수 (명)","여자",2018,221385
"총계","공립","입학자수 (명)","여자",2019,226859
"총계","공립","입학자수 (명)","여자",2020,204158
"총계","공립","입학자수 (명)","여자",2021,204888
"총계","공립","입학자수 (명)","여자",2022,206463
"총계","공립","졸업자수 (명)","소계",2013,593594
"총계","공립","졸업자수 (명)","소계",2014,522435
"총계","공립","졸업자수 (명)","소계",2015,456978
"총계","공립","졸업자수 (명)","소계",2016,464806
"총계","공립","졸업자수 (명)","소계",2017,446211
"총계","공립","졸업자수 (명)","소계",2018,411014
"총계","공립","졸업자수 (명)","소계",2019,425609
"총계","공립","졸업자수 (명)","소계",2020,467524
"총계","공립","졸업자수 (명)","소계",2021,443755
"총계","공립","졸업자수 (명)","소계",2022,424846
"총계","공립","졸업자수 (명)","여자",2013,282666
"총계","공립","졸업자수 (명)","여자",2014,249946
"총계","공립","졸업자수 (명)","여자",2015,217723
"총계","공립","졸업자수 (명)","여자",2016,222864
"총계","공립","졸업자수 (명)","여자",2017,214557
"총계","공립","졸업자수 (명)","여자",2018,197816
"총계","공립","졸업자수 (명)","여자",2019,205467
"총계","공립","졸업자수 (명)","여자",2020,226936
"총계","공립","졸업자수 (명)","여자",2021,215352
"총계","공립","졸업자수 (명)","여자",2022,206040
"총계","공립","교실수 (개)","소계",2013,124386
"총계","공립","교실수 (개)","소계",2014,125521
"총계","공립","교실수 (개)","소계",2015,160907
"총계","공립","교실수 (개)","소계",2016,162432
"총계","공립","교실수 (개)","소계",2017,164809
"총계","공립","교실수 (개)","소계",2018,167355
"총계","공립","교실수 (개)","소계",2019,169905
"총계","공립","교실수 (개)","소계",2020,171235
"총계","공립","교실수 (개)","소계",2021,172650
"총계","공립","교실수 (개)","소계",2022,174109
"총계","공립","교실수 (개)","정규교실",2013,123762
"총계","공립","교실수 (개)","정규교실",2014,124905
"총계","공립","교실수 (개)","가·대용교실",2013,624
"총계","공립","교실수 (개)","가·대용교실",2014,616
"총계","공립","교실수 (개)","일반교실",2015,124057
"총계","공립","교실수 (개)","일반교실",2016,125002
"총계","공립","교실수 (개)","일반교실",2017,126865
"총계","공립","교실수 (개)","일반교실",2018,129194
"총계","공립","교실수 (개)","일반교실",2019,131582
"총계","공립","교실수 (개)","일반교실",2020,132751
"총계","공립","교실수 (개)","일반교실",2021,134300
"총계","공립","교실수 (개)","일반교실",2022,136266
"총계","공립","교실수 (개)","교과교실",2015,7050
"총계","공립","교실수 (개)","교과교실",2016,6965
"총계","공립","교실수 (개)","교과교실",2017,7211
"총계","공립","교실수 (개)","교과교실",2018,7494
"총계","공립","교실수 (개)","교과교실",2019,7554
"총계","공립","교실수 (개)","교과교실",2020,7678
"총계","공립","교실수 (개)","교과교실",2021,7821
"총계","공립","교실수 (개)","교과교실",2022,7854
"총계","공립","교실수 (개)","특별교실",2015,28341
"총계","공립","교실수 (개)","특별교실",2016,29026
"총계","공립","교실수 (개)","특별교실",2017,29329
"총계","공립","교실수 (개)","특별교실",2018,29212
"총계","공립","교실수 (개)","특별교실",2019,29361
"총계","공립","교실수 (개)","특별교실",2020,29448
"총계","공립","교실수 (개)","특별교실",2021,29233
"총계","공립","교실수 (개)","특별교실",2022,28742
"총계","공립","교실수 (개)","수준별교실",2015,1459
"총계","공립","교실수 (개)","수준별교실",2016,1439
"총계","공립","교실수 (개)","수준별교실",2017,1404
"총계","공립","교실수 (개)","수준별교실",2018,1455
"총계","공립","교실수 (개)","수준별교실",2019,1408
"총계","공립","교실수 (개)","수준별교실",2020,1358
"총계","공립","교실수 (개)","수준별교실",2021,1296
"총계","공립","교실수 (개)","수준별교실",2022,1247
"총계","사립","학교수 (개)","소계",2013,76
"총계","사립","학교수 (개)","소계",2014,76
"총계","사립","학교수 (개)","소계",2015,75
"총계","사립","학교수 (개)","소계",2016,75
"총계","사립","학교수 (개)","소계",2017,74
"총계","사립","학교수 (개)","소계",2018,74
"총계","사립","학교수 (개)","소계",2019,74
"총계","사립","학교수 (개)","소계",2020,74
"총계","사립","학교수 (개)","소계",2021,73
"총계","사립","학교수 (개)","소계",2022,73
"총계","사립","학급수 (개)","소계",2013,1427
"총계","사립","학급수 (개)","소계",2014,1422
"총계","사립","학급수 (개)","소계",2015,1409
"총계","사립","학급수 (개)","소계",2016,1416
"총계","사립","학급수 (개)","소계",2017,1413
"총계","사립","학급수 (개)","소계",2018,1401
"총계","사립","학급수 (개)","소계",2019,1396
"총계","사립","학급수 (개)","소계",2020,1389
"총계","사립","학급수 (개)","소계",2021,1392
"총계","사립","학급수 (개)","소계",2022,1408
"총계","사립","학생수 (명)","소계",2013,40915
"총계","사립","학생수 (명)","소계",2014,40177
"총계","사립","학생수 (명)","소계",2015,39501
"총계","사립","학생수 (명)","소계",2016,39221
"총계","사립","학생수 (명)","소계",2017,38844
"총계","사립","학생수 (명)","소계",2018,38121
"총계","사립","학생수 (명)","소계",2019,37969
"총계","사립","학생수 (명)","소계",2020,37719
"총계","사립","학생수 (명)","소계",2021,38324
"총계","사립","학생수 (명)","소계",2022,39238
"총계","사립","학생수 (명)","여자",2013,20136
"총계","사립","학생수 (명)","여자",2014,19855
"총계","사립","학생수 (명)","여자",2015,19565
"총계","사립","학생수 (명)","여자",2016,19512
"총계","사립","학생수 (명)","여자",2017,19268
"총계","사립","학생수 (명)","여자",2018,18935
"총계","사립","학생수 (명)","여자",2019,18866
"총계","사립","학생수 (명)","여자",2020,18724
"총계","사립","학생수 (명)","여자",2021,19005
"총계","사립","학생수 (명)","여자",2022,19413
"총계","사립","교원수 (명)","소계",2013,1761
"총계","사립","교원수 (명)","소계",2014,1792
"총계","사립","교원수 (명)","소계",2015,1767
"총계","사립","교원수 (명)","소계",2016,1775
"총계","사립","교원수 (명)","소계",2017,1795
"총계","사립","교원수 (명)","소계",2018,1763
"총계","사립","교원수 (명)","소계",2019,1762
"총계","사립","교원수 (명)","소계",2020,1756
"총계","사립","교원수 (명)","소계",2021,1754
"총계","사립","교원수 (명)","소계",2022,1791
"총계","사립","교원수 (명)","여자",2013,988
"총계","사립","교원수 (명)","여자",2014,998
"총계","사립","교원수 (명)","여자",2015,996
"총계","사립","교원수 (명)","여자",2016,1026
"총계","사립","교원수 (명)","여자",2017,1035
"총계","사립","교원수 (명)","여자",2018,1025
"총계","사립","교원수 (명)","여자",2019,1035
"총계","사립","교원수 (명)","여자",2020,1038
"총계","사립","교원수 (명)","여자",2021,1036
"총계","사립","교원수 (명)","여자",2022,1071
"총계","사립","직원수 (명)","소계",2013,462
"총계","사립","직원수 (명)","소계",2014,462
"총계","사립","직원수 (명)","소계",2015,461
"총계","사립","직원수 (명)","소계",2016,441
"총계","사립","직원수 (명)","소계",2017,442
"총계","사립","직원수 (명)","소계",2018,427
"총계","사립","직원수 (명)","소계",2019,422
"총계","사립","직원수 (명)","소계",2020,403
"총계","사립","직원수 (명)","소계",2021,389
"총계","사립","직원수 (명)","소계",2022,393
"총계","사립","직원수 (명)","여자",2013,170
"총계","사립","직원수 (명)","여자",2014,162
"총계","사립","직원수 (명)","여자",2015,167
"총계","사립","직원수 (명)","여자",2016,161
"총계","사립","직원수 (명)","여자",2017,165
