"시도별(1)","설립주체별(1)","유치원현황별(1)","유치원현황별(2)",시점,데이터
"총계","계","신입원아수 (명)","여자",2021,125659
"총계","계","신입원아수 (명)","여자",2022,119767
"총계","계","재취원아수 (명)","소계",2013,333841
"총계","계","재취원아수 (명)","소계",2014,337975
"총계","계","재취원아수 (명)","소계",2015,352449
"총계","계","재취원아수 (명)","소계",2016,379395
"총계","계","재취원아수 (명)","소계",2017,391932
"총계","계","재취원아수 (명)","소계",2018,375285
"총계","계","재취원아수 (명)","소계",2019,345314
"총계","계","재취원아수 (명)","여자",2013,162960
"총계","계","재취원아수 (명)","여자",2014,164399
"총계","계","재취원아수 (명)","여자",2015,172332
"총계","계","재취원아수 (명)","여자",2016,186051
"총계","계","재취원아수 (명)","여자",2017,195647
"총계","계","재취원아수 (명)","여자",2018,184973
"총계","계","재취원아수 (명)","여자",2019,170751
"총계","계","졸업원아수 (명)","소계",2013,522581
"총계","계","졸업원아수 (명)","소계",2014,532212
"총계","계","졸업원아수 (명)","소계",2015,474302
"총계","계","졸업원아수 (명)","소계",2016,283440
"총계","계","졸업원아수 (명)","소계",2017,280094
"총계","계","졸업원아수 (명)","소계",2018,277280
"총계","계","졸업원아수 (명)","소계",2019,270131
"총계","계","졸업원아수 (명)","소계",2020,242349
"총계","계","졸업원아수 (명)","소계",2021,225555
"총계","계","졸업원아수 (명)","소계",2022,236392
"총계","계","졸업원아수 (명)","여자",2013,255059
"총계","계","졸업원아수 (명)","여자",2014,258997
"총계","계","졸업원아수 (명)","여자",2015,230763
"총계","계","졸업원아수 (명)","여자",2016,137419
"총계","계","졸업원아수 (명)","여자",2017,135675
"총계","계","졸업원아수 (명)","여자",2018,135603
"총계","계","졸업원아수 (명)","여자",2019,132195
"총계","계","졸업원아수 (명)","여자",2020,119061
"총계","계","졸업원아수 (명)","여자",2021,110546
"총계","계","졸업원아수 (명)","여자",2022,115866
"총계","계","교실수 (개)","소계",2013,26534
"총계","계","교실수 (개)","소계",2014,28246
"총계","계","교실수 (개)","소계",2015,31608
"총계","계","교실수 (개)","소계",2016,33392
"총계","계","교실수 (개)","소계",2017,34748
"총계","계","교실수 (개)","소계",2018,32724
"총계","계","교실수 (개)","소계",2019,31831
"총계","계","교실수 (개)","소계",2020,30894
"총계","계","교실수 (개)","소계",2021,30311
"총계","계","교실수 (개)","소계",2022,29996
"총계","계","교실수 (개)","정규교실",2013,25886
"총계","계","교실수 (개)","정규교실",2014,27572
"총계","계","교실수 (개)","가·대용교실",2013,648
"총계","계","교실수 (개)","가·대용교실",2014,674
"총계","계","교실수 (개)","일반교실",2015,28682
"총계","계","교실수 (개)","일반교실",2016,30281
"총계","계","교실수 (개)","일반교실",2017,31737
"총계","계","교실수 (개)","일반교실",2018,30216
"총계","계","교실수 (개)","일반교실",2019,29342
"총계","계","교실수 (개)","일반교실",2020,28529
"총계","계","교실수 (개)","일반교실",2021,27992
"총계","계","교실수 (개)","일반교실",2022,27645
"총계","계","교실수 (개)","교과교실",2015,733
"총계","계","교실수 (개)","교과교실",2016,767
"총계","계","교실수 (개)","교과교실",2017,554
"총계","계","교실수 (개)","교과교실",2018,392
"총계","계","교실수 (개)","교과교실",2019,383
"총계","계","교실수 (개)","교과교실",2020,334
"총계","계","교실수 (개)","교과교실",2021,319
"총계","계","교실수 (개)","교과교실",2022,313
"총계","계","교실수 (개)","특별교실",2015,2004
"총계","계","교실수 (개)","특별교실",2016,2162
"총계","계","교실수 (개)","특별교실",2017,2303
"총계","계","교실수 (개)","특별교실",2018,1982
"총계","계","교실수 (개)","특별교실",2019,1981
"총계","계","교실수 (개)","특별교실",2020,1912
"총계","계","교실수 (개)","특별교실",2021,1886
"총계","계","교실수 (개)","특별교실",2022,1927
"총계","계","교실수 (개)","수준별교실",2015,189
"총계","계","교실수 (개)","수준별교실",2016,182
"총계","계","교실수 (개)","수준별교실",2017,154
"총계","계","교실수 (개)","수준별교실",2018,134
"총계","계","교실수 (개)","수준별교실",2019,125
"총계","계","교실수 (개)","수준별교실",2020,119
"총계","계","교실수 (개)","수준별교실",2021,114
"총계","계","교실수 (개)","수준별교실",2022,111
"총계","국립","유치원수 (개)","소계",2013,3
"총계","국립","유치원수 (개)","소계",2014,3
"총계","국립","유치원수 (개)","소계",2015,3
"총계","국립","유치원수 (개)","소계",2016,3
"총계","국립","유치원수 (개)","소계",2017,3
"총계","국립","유치원수 (개)","소계",2018,3
"총계","국립","유치원수 (개)","소계",2019,3
"총계","국립","유치원수 (개)","소계",2020,3
"총계","국립","유치원수 (개)","소계",2021,3
"총계","국립","유치원수 (개)","소계",2022,3
"총계","국립","학급수 (개)","소계",2013,15
"총계","국립","학급수 (개)","소계",2014,15
"총계","국립","학급수 (개)","소계",2015,15
"총계","국립","학급수 (개)","소계",2016,15
"총계","국립","학급수 (개)","소계",2017,15
"총계","국립","학급수 (개)","소계",2018,15
"총계","국립","학급수 (개)","소계",2019,17
"총계","국립","학급수 (개)","소계",2020,17
"총계","국립","학급수 (개)","소계",2021,17
"총계","국립","학급수 (개)","소계",2022,17
"총계","국립","원아수 (명)","소계",2013,225
"총계","국립","원아수 (명)","소계",2014,258
"총계","국립","원아수 (명)","소계",2015,256
"총계","국립","원아수 (명)","소계",2016,258
"총계","국립","원아수 (명)","소계",2017,249
"총계","국립","원아수 (명)","소계",2018,249
"총계","국립","원아수 (명)","소계",2019,275
"총계","국립","원아수 (명)","소계",2020,273
"총계","국립","원아수 (명)","소계",2021,264
"총계","국립","원아수 (명)","소계",2022,255
"총계","국립","원아수 (명)","여자",2013,101
"총계","국립","원아수 (명)","여자",2014,122
"총계","국립","원아수 (명)","여자",2015,121
"총계","국립","원아수 (명)","여자",2016,137
"총계","국립","원아수 (명)","여자",2017,133
"총계","국립","원아수 (명)","여자",2018,131
"총계","국립","원아수 (명)","여자",2019,138
"총계","국립","원아수 (명)","여자",2020,134
"총계","국립","원아수 (명)","여자",2021,128
"총계","국립","원아수 (명)","여자",2022,127
"총계","국립","교원수 (명)","소계",2013,23
"총계","국립","교원수 (명)","소계",2014,20
"총계","국립","교원수 (명)","소계",2015,21
"총계","국립","교원수 (명)","소계",2016,21
"총계","국립","교원수 (명)","소계",2017,21
"총계","국립","교원수 (명)","소계",2018,22
"총계","국립","교원수 (명)","소계",2019,29
"총계","국립","교원수 (명)","소계",2020,29
"총계","국립","교원수 (명)","소계",2021,25
"총계","국립","교원수 (명)","소계",2022,25
"총계","국립","교원수 (명)","여자",2013,23
"총계","국립","교원수 (명)","여자",2014,20
"총계","국립","교원수 (명)","여자",2015,20
"총계","국립","교원수 (명)","여자",2016,19
"총계","국립","교원수 (명)","여자",2017,20
"총계","국립","교원수 (명)","여자",2018,22
"총계","국립","교원수 (명)","여자",2019,29
"총계","국립","교원수 (명)","여자",2020,29
"총계","국립","교원수 (명)","여자",2021,25
"총계","국립","교원수 (명)","여자",2022,24
"총계","국립","직원수 (명)","소계",2013,4
"총계","국립","직원수 (명)","소계",2014,2
"총계","국립","직원수 (명)","소계",2015,2
"총계","국립","직원수 (명)","소계",2016,2
"총계","국립","직원수 (명)","소계",2017,2
"총계","국립","직원수 (명)","소계",2018,5
"총계","국립","직원수 (명)","소계",2019,4
"총계","국립","직원수 (명)","소계",2020,3
"총계","국립","직원수 (명)","소계",2021,2
"총계","국립","직원수 (명)","소계",2022,6
"총계","국립","직원수 (명)","여자",2013,3
"총계","국립","직원수 (명)","여자",2014,1
"총계","국립","직원수 (명)","여자",2015,1
"총계","국립","직원수 (명)","여자",2016,2
"총계","국립","직원수 (명)","여자",2017,2
"총계","국립","직원수 (명)","여자",2018,3
"총계","국립","직원수 (명)","여자",2019,2
"총계","국립","직원수 (명)","여자",2020,3
"총계","국립","직원수 (명)","여자",2021,1
"총계","국립","직원수 (명)","여자",2022,4
"총계","국립","신입원아수 (명)","소계",2013,125
"총계","국립","신입원아수 (명)","소계",2014,147
"총계","국립","신입원아수 (명)","소계",2015,129
"총계","국립","신입원아수 (명)","소계",2016,134
"총계","국립","신입원아수 (명)","소계",2017,154
"총계","국립","신입원아수 (명)","소계",2018,129
"총계","국립","신입원아수 (명)","소계",2019,161
"총계","국립","신입원아수 (명)","소계",2020,120
"총계","국립","신입원아수 (명)","소계",2021,121
"총계","국립","신입원아수 (명)","소계",2022,104
"총계","국립","신입원아수 (명)","여자",2013,53
"총계","국립","신입원아수 (명)","여자",2014,70
"총계","국립","신입원아수 (명)","여자",2015,62
"총계","국립","신입원아수 (명)","여자",2016,61
"총계","국립","신입원아수 (명)","여자",2017,83
"총계","국립","신입원아수 (명)","여자",2018,62
"총계","국립","신입원아수 (명)","여자",2019,80
"총계","국립","신입원아수 (명)","여자",2020,56
"총계","국립","신입원아수 (명)","여자",2021,58
"총계","국립","신입원아수 (명)","여자",2022,51
"총계","국립","재취원아수 (명)","소계",2013,100
"총계","국립","재취원아수 (명)","소계",2014,111
"총계","국립","재취원아수 (명)","소계",2015,126
"총계","국립","재취원아수 (명)","소계",2016,130
"총계","국립","재취원아수 (명)","소계",2017,129
"총계","국립","재취원아수 (명)","소계",2018,120
"총계","국립","재취원아수 (명)","소계",2019,115
"총계","국립","재취원아수 (명)","여자",2013,46
"총계","국립","재취원아수 (명)","여자",2014,53
"총계","국립","재취원아수 (명)","여자",2015,57
"총계","국립","재취원아수 (명)","여자",2016,76
"총계","국립","재취원아수 (명)","여자",2017,67
"총계","국립","재취원아수 (명)","여자",2018,69
"총계","국립","재취원아수 (명)","여자",2019,59
"총계","국립","졸업원아수 (명)","소계",2013,183
"총계","국립","졸업원아수 (명)","소계",2014,223
"총계","국립","졸업원아수 (명)","소계",2015,206
"총계","국립","졸업원아수 (명)","소계",2016,108
"총계","국립","졸업원아수 (명)","소계",2017,114
"총계","국립","졸업원아수 (명)","소계",2018,113
"총계","국립","졸업원아수 (명)","소계",2019,113
"총계","국립","졸업원아수 (명)","소계",2020,120
"총계","국립","졸업원아수 (명)","소계",2021,107
"총계","국립","졸업원아수 (명)","소계",2022,105
"총계","국립","졸업원아수 (명)","여자",2013,90
"총계","국립","졸업원아수 (명)","여자",2014,97
"총계","국립","졸업원아수 (명)","여자",2015,96
"총계","국립","졸업원아수 (명)","여자",2016,51
"총계","국립","졸업원아수 (명)","여자",2017,58
"총계","국립","졸업원아수 (명)","여자",2018,57
"총계","국립","졸업원아수 (명)","여자",2019,59
"총계","국립","졸업원아수 (명)","여자",2020,64
"총계","국립","졸업원아수 (명)","여자",2021,50
"총계","국립","졸업원아수 (명)","여자",2022,51
"총계","국립","교실수 (개)","소계",2013,10
"총계","국립","교실수 (개)","소계",2014,14
"총계","국립","교실수 (개)","소계",2015,17
"총계","국립","교실수 (개)","소계",2016,21
"총계","국립","교실수 (개)","소계",2017,21
"총계","국립","교실수 (개)","소계",2018,20
"총계","국립","교실수 (개)","소계",2019,23
"총계","국립","교실수 (개)","소계",2020,23
"총계","국립","교실수 (개)","소계",2021,23
"총계","국립","교실수 (개)","소계",2022,23
"총계","국립","교실수 (개)","정규교실",2013,10
"총계","국립","교실수 (개)","정규교실",2014,14
"총계","국립","교실수 (개)","가·대용교실",2013,-
"총계","국립","교실수 (개)","가·대용교실",2014,-
"총계","국립","교실수 (개)","일반교실",2015,15
"총계","국립","교실수 (개)","일반교실",2016,19
"총계","국립","교실수 (개)","일반교실",2017,19
"총계","국립","교실수 (개)","일반교실",2018,19
"총계","국립","교실수 (개)","일반교실",2019,21
"총계","국립","교실수 (개)","일반교실",2020,21
"총계","국립","교실수 (개)","일반교실",2021,21
"총계","국립","교실수 (개)","일반교실",2022,21
"총계","국립","교실수 (개)","교과교실",2015,-
"총계","국립","교실수 (개)","교과교실",2016,-
"총계","국립","교실수 (개)","교과교실",2017,-
"총계","국립","교실수 (개)","교과교실",2018,0
"총계","국립","교실수 (개)","교과교실",2019,0
"총계","국립","교실수 (개)","교과교실",2020,-
"총계","국립","교실수 (개)","교과교실",2021,-
"총계","국립","교실수 (개)","교과교실",2022,-
"총계","국립","교실수 (개)","특별교실",2015,2
"총계","국립","교실수 (개)","특별교실",2016,2
"총계","국립","교실수 (개)","특별교실",2017,2
"총계","국립","교실수 (개)","특별교실",2018,1
"총계","국립","교실수 (개)","특별교실",2019,2
"총계","국립","교실수 (개)","특별교실",2020,2
"총계","국립","교실수 (개)","특별교실",2021,2
"총계","국립","교실수 (개)","특별교실",2022,2
"총계","국립","교실수 (개)","수준별교실",2015,-
"총계","국립","교실수 (개)","수준별교실",2016,-
"총계","국립","교실수 (개)","수준별교실",2017,-
"총계","국립","교실수 (개)","수준별교실",2018,0
"총계","국립","교실수 (개)","수준별교실",2019,0
"총계","국립","교실수 (개)","수준별교실",2020,-
"총계","국립","교실수 (개)","수준별교실",2021,-
"총계","국립","교실수 (개)","수준별교실",2022,-
"총계","공립","유치원수 (개)","소계",2013,4574
"총계","공립","유치원수 (개)","소계",2014,4616
"총계","공립","유치원수 (개)","소계",2015,4675
"총계","공립","유치원수 (개)","소계",2016,4693
"총계","공립","유치원수 (개)","소계",2017,4744
"총계","공립","유치원수 (개)","소계",2018,4798
"총계","공립","유치원수 (개)","소계",2019,4856
"총계","공립","유치원수 (개)","소계",2020,4973
"총계","공립","유치원수 (개)","소계",2021,5058
"총계","공립","유치원수 (개)","소계",2022,5113
"총계","공립","학급수 (개)","소계",2013,8205
"총계","공립","학급수 (개)","소계",2014,8678
"총계","공립","학급수 (개)","소계",2015,9268
"총계","공립","학급수 (개)","소계",2016,9795
"총계","공립","학급수 (개)","소계",2017,10380
"총계","공립","학급수 (개)","소계",2018,10881
"총계","공립","학급수 (개)","소계",2019,11578
"총계","공립","학급수 (개)","소계",2020,12440
"총계","공립","학급수 (개)","소계",2021,12995
"총계","공립","학급수 (개)","소계",2022,13449
"총계","공립","원아수 (명)","소계",2013,141827
"총계","공립","원아수 (명)","소계",2014,148011
"총계","공립","원아수 (명)","소계",2015,161083
"총계","공립","원아수 (명)","소계",2016,170091
"총계","공립","원아수 (명)","소계",2017,172272
"총계","공립","원아수 (명)","소계",2018,172121
"총계","공립","원아수 (명)","소계",2019,177055
"총계","공립","원아수 (명)","소계",2020,178628
"총계","공립","원아수 (명)","소계",2021,177097
"총계","공립","원아수 (명)","소계",2022,167230
"총계","공립","원아수 (명)","여자",2013,68216
"총계","공립","원아수 (명)","여자",2014,71228
"총계","공립","원아수 (명)","여자",2015,77449
"총계","공립","원아수 (명)","여자",2016,81983
"총계","공립","원아수 (명)","여자",2017,83283
"총계","공립","원아수 (명)","여자",2018,83523
"총계","공립","원아수 (명)","여자",2019,86057
"총계","공립","원아수 (명)","여자",2020,86842
"총계","공립","원아수 (명)","여자",2021,86266
"총계","공립","원아수 (명)","여자",2022,80866
"총계","공립","교원수 (명)","소계",2013,10974
"총계","공립","교원수 (명)","소계",2014,11911
"총계","공립","교원수 (명)","소계",2015,12598
"총계","공립","교원수 (명)","소계",2016,13391
"총계","공립","교원수 (명)","소계",2017,14162
"총계","공립","교원수 (명)","소계",2018,15847
"총계","공립","교원수 (명)","소계",2019,17305
"총계","공립","교원수 (명)","소계",2020,19080
"총계","공립","교원수 (명)","소계",2021,20279
"총계","공립","교원수 (명)","소계",2022,21318
"총계","공립","교원수 (명)","여자",2013,10948
"총계","공립","교원수 (명)","여자",2014,11745
"총계","공립","교원수 (명)","여자",2015,12537
"총계","공립","교원수 (명)","여자",2016,13326
"총계","공립","교원수 (명)","여자",2017,14087
"총계","공립","교원수 (명)","여자",2018,15738
"총계","공립","교원수 (명)","여자",2019,17181
"총계","공립","교원수 (명)","여자",2020,18921
"총계","공립","교원수 (명)","여자",2021,20094
"총계","공립","교원수 (명)","여자",2022,21114
"총계","공립","직원수 (명)","소계",2013,1762
"총계","공립","직원수 (명)","소계",2014,616
"총계","공립","직원수 (명)","소계",2015,805
"총계","공립","직원수 (명)","소계",2016,890
"총계","공립","직원수 (명)","소계",2017,1054
"총계","공립","직원수 (명)","소계",2018,1119
"총계","공립","직원수 (명)","소계",2019,1179
"총계","공립","직원수 (명)","소계",2020,1331
"총계","공립","직원수 (명)","소계",2021,1477
"총계","공립","직원수 (명)","소계",2022,1620
"총계","공립","직원수 (명)","여자",2013,1431
"총계","공립","직원수 (명)","여자",2014,301
"총계","공립","직원수 (명)","여자",2015,420
"총계","공립","직원수 (명)","여자",2016,469
"총계","공립","직원수 (명)","여자",2017,585
"총계","공립","직원수 (명)","여자",2018,654
"총계","공립","직원수 (명)","여자",2019,699
"총계","공립","직원수 (명)","여자",2020,801
"총계","공립","직원수 (명)","여자",2021,900
"총계","공립","직원수 (명)","여자",2022,1018
"총계","공립","신입원아수 (명)","소계",2013,91490
"총계","공립","신입원아수 (명)","소계",2014,89687
"총계","공립","신입원아수 (명)","소계",2015,93718
"총계","공립","신입원아수 (명)","소계",2016,94040
"총계","공립","신입원아수 (명)","소계",2017,94244
"총계","공립","신입원아수 (명)","소계",2018,92438
"총계","공립","신입원아수 (명)","소계",2019,99130
"총계","공립","신입원아수 (명)","소계",2020,97087
"총계","공립","신입원아수 (명)","소계",2021,97790
"총계","공립","신입원아수 (명)","소계",2022,88833
"총계","공립","신입원아수 (명)","여자",2013,43783
"총계","공립","신입원아수 (명)","여자",2014,43261
"총계","공립","신입원아수 (명)","여자",2015,44913
"총계","공립","신입원아수 (명)","여자",2016,45292
"총계","공립","신입원아수 (명)","여자",2017,45567
"총계","공립","신입원아수 (명)","여자",2018,44944
"총계","공립","신입원아수 (명)","여자",2019,48576
"총계","공립","신입원아수 (명)","여자",2020,47163
"총계","공립","신입원아수 (명)","여자",2021,47568
"총계","공립","신입원아수 (명)","여자",2022,42950
"총계","공립","재취원아수 (명)","소계",2013,50380
"총계","공립","재취원아수 (명)","소계",2014,58417
"총계","공립","재취원아수 (명)","소계",2015,67144
"총계","공립","재취원아수 (명)","소계",2016,75878
"총계","공립","재취원아수 (명)","소계",2017,78919
"총계","공립","재취원아수 (명)","소계",2018,80473
"총계","공립","재취원아수 (명)","소계",2019,78257
"총계","공립","재취원아수 (명)","여자",2013,24444
"총계","공립","재취원아수 (명)","여자",2014,28149
"총계","공립","재취원아수 (명)","여자",2015,32417
"총계","공립","재취원아수 (명)","여자",2016,36644
"총계","공립","재취원아수 (명)","여자",2017,38360
"총계","공립","재취원아수 (명)","여자",2018,39001
"총계","공립","재취원아수 (명)","여자",2019,37883
"총계","공립","졸업원아수 (명)","소계",2013,149401
"총계","공립","졸업원아수 (명)","소계",2014,137815
"총계","공립","졸업원아수 (명)","소계",2015,128697
"총계","공립","졸업원아수 (명)","소계",2016,85665
"총계","공립","졸업원아수 (명)","소계",2017,88344
"총계","공립","졸업원아수 (명)","소계",2018,89121
"총계","공립","졸업원아수 (명)","소계",2019,88098
"총계","공립","졸업원아수 (명)","소계",2020,86069
"총계","공립","졸업원아수 (명)","소계",2021,83281
"총계","공립","졸업원아수 (명)","소계",2022,86052
"총계","공립","졸업원아수 (명)","여자",2013,72713
"총계","공립","졸업원아수 (명)","여자",2014,66303
"총계","공립","졸업원아수 (명)","여자",2015,61987
"총계","공립","졸업원아수 (명)","여자",2016,41108
"총계","공립","졸업원아수 (명)","여자",2017,42198
"총계","공립","졸업원아수 (명)","여자",2018,42949
"총계","공립","졸업원아수 (명)","여자",2019,42532
"총계","공립","졸업원아수 (명)","여자",2020,41740
"총계","공립","졸업원아수 (명)","여자",2021,40258
"총계","공립","졸업원아수 (명)","여자",2022,41690
"총계","공립","교실수 (개)","소계",2013,2212
"총계","공립","교실수 (개)","소계",2014,2612
"총계","공립","교실수 (개)","소계",2015,3508
"총계","공립","교실수 (개)","소계",2016,4525
"총계","공립","교실수 (개)","소계",2017,5452
"총계","공립","교실수 (개)","소계",2018,3400
"총계","공립","교실수 (개)","소계",2019,3725
"총계","공립","교실수 (개)","소계",2020,4252
"총계","공립","교실수 (개)","소계",2021,4941
"총계","공립","교실수 (개)","소계",2022,5615
"총계","공립","교실수 (개)","정규교실",2013,2190
"총계","공립","교실수 (개)","정규교실",2014,2565
"총계","공립","교실수 (개)","가·대용교실",2013,22
"총계","공립","교실수 (개)","가·대용교실",2014,47
"총계","공립","교실수 (개)","일반교실",2015,3092
"총계","공립","교실수 (개)","일반교실",2016,3900
"총계","공립","교실수 (개)","일반교실",2017,4687
"총계","공립","교실수 (개)","일반교실",2018,3051
"총계","공립","교실수 (개)","일반교실",2019,3333
"총계","공립","교실수 (개)","일반교실",2020,3845
"총계","공립","교실수 (개)","일반교실",2021,4464
"총계","공립","교실수 (개)","일반교실",2022,5052
"총계","공립","교실수 (개)","교과교실",2015,79
"총계","공립","교실수 (개)","교과교실",2016,111
"총계","공립","교실수 (개)","교과교실",2017,119
"총계","공립","교실수 (개)","교과교실",2018,28
"총계","공립","교실수 (개)","교과교실",2019,36
"총계","공립","교실수 (개)","교과교실",2020,29
"총계","공립","교실수 (개)","교과교실",2021,37
"총계","공립","교실수 (개)","교과교실",2022,44
"총계","공립","교실수 (개)","특별교실",2015,321
"총계","공립","교실수 (개)","특별교실",2016,491
"총계","공립","교실수 (개)","특별교실",2017,626
"총계","공립","교실수 (개)","특별교실",2018,315
"총계","공립","교실수 (개)","특별교실",2019,349
"총계","공립","교실수 (개)","특별교실",2020,368
"총계","공립","교실수 (개)","특별교실",2021,426
"총계","공립","교실수 (개)","특별교실",2022,504
"총계","공립","교실수 (개)","수준별교실",2015,16
"총계","공립","교실수 (개)","수준별교실",2016,23
"총계","공립","교실수 (개)","수준별교실",2017,20
"총계","공립","교실수 (개)","수준별교실",2018,6
"총계","공립","교실수 (개)","수준별교실",2019,7
"총계","공립","교실수 (개)","수준별교실",2020,10
"총계","공립","교실수 (개)","수준별교실",2021,14
"총계","공립","교실수 (개)","수준별교실",2022,15
"총계","사립","유치원수 (개)","소계",2013,4101
"총계","사립","유치원수 (개)","소계",2014,4207
"총계","사립","유치원수 (개)","소계",2015,4252
"총계","사립","유치원수 (개)","소계",2016,4291
"총계","사립","유치원수 (개)","소계",2017,4282
"총계","사립","유치원수 (개)","소계",2018,4220
"총계","사립","유치원수 (개)","소계",2019,3978
"총계","사립","유치원수 (개)","소계",2020,3729
"총계","사립","유치원수 (개)","소계",2021,3599
"총계","사립","유치원수 (개)","소계",2022,3446
"총계","사립","학급수 (개)","소계",2013,22377
"총계","사립","학급수 (개)","소계",2014,24348
"총계","사립","학급수 (개)","소계",2015,24792
"총계","사립","학급수 (개)","소계",2016,25980
"총계","사립","학급수 (개)","소계",2017,26075
"총계","사립","학급수 (개)","소계",2018,26852
"총계","사립","학급수 (개)","소계",2019,25673
"총계","사립","학급수 (개)","소계",2020,24177
"총계","사립","학급수 (개)","소계",2021,20369
"총계","사립","학급수 (개)","소계",2022,19707
"총계","사립","원아수 (명)","소계",2013,516136
"총계","사립","원아수 (명)","소계",2014,504277
"총계","사립","원아수 (명)","소계",2015,521214
"총계","사립","원아수 (명)","소계",2016,533789
"총계","사립","원아수 (명)","소계",2017,522110
"총계","사립","원아수 (명)","소계",2018,503628
"총계","사립","원아수 (명)","소계",2019,456583
"총계","사립","원아수 (명)","소계",2020,433637
